horaire,team_home,team_away,score,cote1,coteN,cote2
14:00,Uerdingen,Erndtebruck ,1 : 0,-,-,-
14:00,Wattenscheid ,Verl,0 : 3,-,-,-
14:00,Wuppertaler,Dusseldorf II,2 : 0,-,-,-
15:00,Wiedenbruck,Dortmund II,0 : 4,-,-,-
