horaire,team_home,team_away,score,cote1,coteN,cote2
13:00,Bunkeflo F,Kvarnsvedens F,1 : 0,-,-,-
15:00,Djurgarden F,Vittsjo F,1 : 1,-,-,-
15:00,Hammarby F,Örebro F,6 : 1,-,-,-
