horaire,team_home,team_away,score,cote1,coteN,cote2
15:00,Dugopolje,Dragovoljac,1 : 0,-,-,-
15:00,Kustosija,Hajduk Split 2,1 : 0,-,-,-
15:00,Sesvete,Solin,0 : 1,-,-,-
15:00,Sibenik,Lucko,0 : 0,-,-,-
15:00,Varazdin,Novigrad,0 : 0,-,-,-
