horaire,team_home,team_away,score,cote1,coteN,cote2
16:00,Balzers,Red Star Zurich,3 : 1,-,-,-
16:00,Hongg,Bellinzona,0 : 1,-,-,-
16:00,Thalwil,St. Gallen II,1 : 1,-,-,-
16:00,Tuggen,Seuzach,1 : 1,-,-,-
16:00,Wettswil-Bonstetten,Eschen,2 : 0,-,-,-
17:00,Gossau,Winterthur II,2 : 0,-,-,-
