horaire,team_home,team_away,score,cote1,coteN,cote2
17:00,Bale F,Luzern F,7 : 0,-,-,-
18:00,Aarau F,Young Boys F,0 : 4,-,-,-
18:00,Yverdon F,FF Lugano 1976 F,1 : 1,-,-,-
18:30,Zurich F,Grasshoppers F,2 : 2,-,-,-
