horaire,team_home,team_away,score,cote1,coteN,cote2
16:00,Cham,Yverdon,2 : 1,-,-,-
16:00,Koniz,Sion II,1 : 3,-,-,-
16:00,United Zurich,Breitenrain,2 : 5,-,-,-
16:00,Zurich II,Old Boys,5 : 2,-,-,-
16:30,Bruhl SG,La Chaux-De-Fonds,3 : 1,-,-,-
17:00,Bavois,Lausanne Ouchy,3 : 2,-,-,-
17:30,Nyonnais,Bale II,2 : 1,-,-,-
18:00,Kriens,YF Juventus,-,-,-,-
