horaire,team_home,team_away,score,cote1,coteN,cote2
15:05,Ajman,Al-Ain,2 : 3,-,-,-
15:05,Al Nasr,Dibba Al Fujairah,3 : 1,-,-,-
18:00,Al-Ahli Dubai,Emirates Club ,4 : 0,-,-,-
