horaire,team_home,team_away,score,cote1,coteN,cote2
16:00,CD Vitoria,Santander,0 : 0,-,-,-
17:00,Osasuna B ,R. Sociedad B,0 : 3,-,-,-
18:00,Leioa,Izarra,1 : 2,-,-,-
