horaire,team_home,team_away,score,cote1,coteN,cote2
12:30,Met. Bekobod,Bunyodkor,1 : 1,-,-,-
13:30,Shortan Guzor,Buxoro,2 : 3,-,-,-
14:00,Pakhtakor,Kokand 1912,2 : 0,-,-,-
