horaire,team_home,team_away,score,cote1,coteN,cote2
15:00,Hard,Dornbirn,1 : 1,-,-,-
15:00,Saalfelden,SV Worgl,2 : 1,-,-,-
16:00,Schwaz,Alberschwende,4 : 0,-,-,-
16:00,Wals-Grunau,Hohenems,1 : 3,-,-,-
16:30,Kitzbuhel,Seekirchen,1 : 2,-,-,-
