horaire,team_home,team_away,score,cote1,coteN,cote2
13:00,Duzyurtspor,Tekirdagspor,3 : 2,-,-,-
13:30,Payasspor,Tarsus,1 : 1,-,-,-
18:00,Karacabey Birlikspor,Sultanbeyli,0 : 4,-,-,-
