horaire,team_home,team_away,score,cote1,coteN,cote2
15:00,Mallbackens F,Holmalunds F,4 : 1,-,-,-
15:00,Sundsvall F,Västerås F,2 : 0,-,-,-
15:00,Umeå IK F,Hovas F,3 : 0,-,-,-
16:00,AIK F,Uppsala F,1 : 0,-,-,-
