horaire,team_home,team_away,score,cote1,coteN,cote2
03:00,Atl. San Luis,Correcaminos ,1 : 1,-,-,-
03:00,Atlante,Juarez ,0 : 1,-,-,-
03:30,Venados,Tampico Madero ,0 : 2,-,-,-
04:00,Cafetaleros de Tapachula ,Dorados ,2 : 1,-,-,-
05:00,Murcielagos,Leones Negros,0 : 1,-,-,-
05:10,Cimarrones de Sonora,Alebrijes Oaxaca ,1 : 2,-,-,-
