horaire,team_home,team_away,score,cote1,coteN,cote2
13:00,Murom,Chertanovo M.,2 : 0,-,-,-
15:00,Dolgoprudny,Znamya Truda,4 : 0,-,-,-
16:00,Tekstilshtik,Kolomna,2 : 0,-,-,-
