horaire,team_home,team_away,score,cote1,coteN,cote2
10:00,Orenburg 2,Chelyabinsk,2 : 2,-,-,-
13:00,Nosta,Zenit-Izhevsk,0 : 1,-,-,-
15:00,Kamaz,Anzhi-Junior Zelenodolsk,1 : 1,-,-,-
15:00,Lada Togliatti,Syzran,0 : 2,-,-,-
15:00,M. Saransk,Neftekhimik,0 : 0,-,-,-
