horaire,team_home,team_away,score,cote1,coteN,cote2
10:00,Arges Pitesti,Clinceni,1 : 1,-,-,-
10:00,Braila,Mioveni,2 : 2,-,-,-
10:00,Chindia Targoviste,Metaloglobus,3 : 0,-,-,-
10:00,Foresta Suceava,Calarasi,0 : 2,-,-,-
10:00,Luceafarul Oradea,Afumati,1 : 2,-,-,-
10:00,Miroslava,Satu Mare,2 : 1,-,-,-
10:00,Ripensia Timisoara,Balotesti,1 : 2,-,-,-
10:00,Sportul Snagov,Pandurii,0 : 0,-,-,-
