horaire,team_home,team_away,score,cote1,coteN,cote2
17:30,Trelissac,Fontenay,3 : 0,-,-,-
18:00,FC Mantois 78,Lorient II,-,-,-,-
18:00,Granville,Le Mans,-,-,-,-
18:00,Romorantin,Boulogne-Billancourt,-,-,-,-
18:00,Saint-Malo,Vitré,-,-,-,-
18:00,Saint-Pryvé Saint-Hilaire FC,Rennes II,-,-,-,-
18:00,Stade Briochin,Chartres,-,-,-,-
19:00,Limoges,Le Havre II,-,-,-,-
